,PC1,PC2,PC3
HAS_DATE,0.6638822217752623,0.7192186143137165,-0.2049023680570799
ONE_ON_ONE,0.6638822217752615,-0.44066538810652955,0.6042138788009298
DATE_GROUP_SIZE,0.19876350371021673,-0.3101282533348517,-0.4445749311529475
DATE_RATIO,0.19876350371021673,-0.3101282533348517,-0.44457493115294927
DATE_ROSE,0.19876350371021673,-0.3101282533348546,-0.4445749311529376
FIRST_IMPRESSION_ROSE,-0.0,0.0,0.0
