,PC1,PC2,PC3
HAS_DATE,0.6779276637789627,-0.6292828268113122,-0.36547685326824514
ONE_ON_ONE,0.5939617713452441,0.728458894598425,-0.05659351251356415
DATE_GROUP_SIZE,0.41335855698811175,-0.09420302317172513,0.8184387773962921
DATE_RATIO,0.09153742466424308,0.17955020632975036,-0.31095161337463806
DATE_ROSE,0.09153742466424314,0.17955020632975044,-0.31095161337463806
FIRST_IMPRESSION_ROSE,0.0,0.0,0.0
